row_id,idea_title,domain,source_type,source_url,publication_year,citation_count,patent_count,author_id,author_profession,author_city,author_religion,aim_score,k_factor,invite_rate,conversion_rate,viral_cycle_time_days,aha_conversion_24h,invite_initiation_rate,social_proof_multiplier,share_to_value_ratio,friction_coefficient,complexity_score,retention_d1,retention_d7,retention_d30,stickiness_dau_mau,network_density_growth,global_demand_score,cultural_resonance_score,infrastructure_readiness,capital_alignment_score,timing_window_score,emotional_trigger_index,geopolitical_tension,regulatory_disruption,capital_acceleration,shock_amplification_factor,virality_horizon_years,temporal_decay_factor,novelty_score,q1_universal_pain,q2_emotion_trigger,q3_low_friction,q4_network_effect,q5_scalable_economics,q6_cultural_resonance,q7_structural_readiness,q8_capital_alignment,q9_timing_window,q10_author_credibility,virality_composite_score
46,Legal AI Copilot for Unrepresented Litigants,govtech,startup_post_mortem,https://crunchbase.com/doc/46,2012,3900,24,AUTH_0046,data_scientist,Mumbai,sikh,0.35,0.9245,2.196,0.421,15.83,0.174,0.244,1.657,0.984,0.319,0.3,0.789,0.361,0.262,0.406,0.677,0.16,0.56,0.958,0.232,0.405,0.184,0.64,0.432,0.029,0.4499,61.45,0.0011,0.1026,0.100189613103726,0.2342208935993287,0.7039100123493324,0.7573326254705426,0.99048276334956,0.5432367543584765,1.0,0.2924886772541139,0.42213527982310256,0.3909743345916254,0.5435
47,Legal AI Copilot for Unrepresented Litigants,spacetech,legislation_draft,https://biorxiv.org/doc/47,2009,4834,21,AUTH_0047,educator,Seoul,jewish,0.4723,0.656,3.364,0.195,8.07,0.919,0.537,2.692,0.487,0.239,0.117,0.417,0.196,0.097,0.378,0.575,0.931,0.173,0.167,0.289,0.187,0.842,0.619,0.866,0.952,0.9731,48.51,0.0827,0.0748,0.9016574505215145,0.7999304403848788,0.6824181490780856,0.5790889843098951,0.45861197854019375,0.18345228139733027,0.08528359843697263,0.25339539888255863,0.18937360274774218,0.4849717632105548,0.4618
48,3D-Printed Custom Prosthetics via Mobile Clinic,agritech,legislation_draft,https://producthunt.com/doc/48,1992,3615,139,AUTH_0048,journalist,Sydney,agnostic,0.4642,0.2874,1.101,0.261,39.27,0.812,0.117,1.348,0.865,0.736,0.654,0.31,0.26,0.082,0.195,0.862,0.21,0.738,0.689,0.861,0.61,0.428,0.616,0.785,0.814,0.8834,80.56,0.0105,0.0139,0.18508865759630697,0.4106417875047724,0.3052441246953794,0.856526203798461,0.7542756072759951,0.6835533048576041,0.582105442590818,0.851291780557595,0.6207477159360261,0.43944074506142666,0.5689
49,Genomic Risk Map for Pandemic Early Warning,agritech,legislation_draft,https://ssrn.com/doc/49,2007,3393,96,AUTH_0049,entrepreneur,Sydney,muslim,0.5695,0.8698,2.265,0.384,10.89,0.733,0.774,2.309,0.002,0.88,0.093,0.538,0.29,0.223,0.253,0.95,0.731,0.458,0.664,0.358,0.063,0.534,0.218,0.43,0.212,0.3148,26.93,0.0139,0.0626,0.7976896172590512,0.6055507276121823,0.14525734466516296,0.8470876684625394,0.003179532974156185,0.44271053902808905,0.5971920679752749,0.29019440784461437,0.1775325879865804,0.5812575841979363,0.4488
50,NLP-Based Financial Literacy Bot for Developing Markets,edtech,startup_pitch,https://semanticscholar.org/doc/50,2000,424,101,AUTH_0050,economist,Lagos,muslim,0.4836,1.3718,3.132,0.438,27.85,0.344,0.008,3.078,0.445,0.755,0.429,0.178,0.08,0.033,0.093,0.594,0.121,0.86,0.694,0.478,0.229,0.089,0.806,0.103,0.368,0.4506,30.0,0.0358,0.0354,0.11459611864577965,0.0877571856815206,0.21335243665200593,0.5504292302714113,0.43287977197418226,0.7907289158735998,0.7239124883301297,0.5199275377404005,0.1905230507712047,0.39222850317552965,0.4016
51,Predictive Mental Health Coach via Wearable Biometrics,biotech,startup_post_mortem,https://semanticscholar.org/doc/51,2008,219,168,AUTH_0051,urban_planner,Berlin,jewish,0.1343,0.5738,4.38,0.131,13.93,0.071,0.638,2.544,0.241,0.607,0.189,0.433,0.313,0.217,0.487,0.239,0.889,0.012,0.361,0.316,0.387,0.839,0.421,0.546,0.173,0.449,47.15,0.0052,0.0788,0.923727341940691,0.8420172604930974,0.5007186831565659,0.18203458331800212,0.20807341206088084,0.03656864921749213,0.3411409491002774,0.2329845598027867,0.34201063328978654,0.15773287292104926,0.3767
52,3D-Printed Custom Prosthetics via Mobile Clinic,fintech,market_report,https://arxiv.org/doc/52,1995,3559,29,AUTH_0052,engineer,Tokyo,atheist,0.5622,0.8384,2.272,0.369,33.07,0.721,0.783,4.812,0.523,0.309,0.742,0.73,0.336,0.22,0.436,0.164,0.167,0.127,0.781,0.269,0.886,0.771,0.029,0.807,0.272,0.3764,6.48,0.4228,0.0189,0.15015159138628686,0.7698568629237748,0.7101654358068441,0.14064229514163007,0.5703825096403519,0.1989456392647031,0.8399506088195591,0.2228376489007605,0.9475156694656093,0.6166629458528267,0.5167
53,Real-Time Disinformation Detection Browser Extension,healthtech,legislation_draft,https://patents.google.com/doc/53,2010,2033,106,AUTH_0053,physician,Singapore,jewish,0.1885,0.9114,4.58,0.199,36.81,0.866,0.877,1.184,0.401,0.826,0.572,0.201,0.148,0.048,0.173,0.516,0.774,0.311,0.086,0.457,0.369,0.292,0.785,0.74,0.243,0.7636,36.89,0.0893,0.0874,0.8418853758162301,0.38613888531679674,0.2357423493362179,0.5253461313001472,0.350494033271919,0.2530241808303708,0.13108399576174196,0.4597212327215044,0.3717242012895227,0.13999426907358184,0.3695
54,Affordable Exoskeleton for Mobility-Impaired Workers,healthtech,market_report,https://producthunt.com/doc/54,1995,4757,24,AUTH_0054,economist,Singapore,secular,0.4171,0.9774,2.532,0.386,28.94,0.326,0.832,4.704,0.393,0.394,0.592,0.153,0.112,0.041,0.21,0.851,0.453,0.234,0.944,0.136,0.77,0.109,0.106,0.45,0.314,0.3043,12.16,0.1356,0.0185,0.3577612609749489,0.1313296723106259,0.6825182797033137,0.8998443050513597,0.36690885709559706,0.30760809095425906,0.9162829749577306,0.11497009872614297,0.787585787681345,0.3948854909379515,0.496
55,On-Chain Scientific Research Funding DAO,edtech,social_post,https://patents.google.com/doc/55,1993,1820,33,AUTH_0055,engineer,Mumbai,muslim,0.3012,0.2458,0.999,0.246,52.5,0.092,0.809,1.791,0.646,0.686,0.938,0.171,0.119,0.09,0.091,0.997,0.847,0.809,0.123,0.942,0.051,0.924,0.433,0.724,0.496,0.645,38.33,0.0512,0.0162,0.8806244181780817,0.9021553005620059,0.2872517718134824,1.0,0.5937836361082993,0.7634834679910527,0.08764405554956808,0.8950466032970885,0.09329957018167212,0.26284547758044696,0.5766
56,Bio-Mimetic Water Purification Nano-Filter,edtech,news_article,https://ssrn.com/doc/56,2014,2215,46,AUTH_0056,policy_analyst,Nairobi,atheist,0.2833,0.0507,0.14,0.362,28.12,0.241,0.248,1.931,0.16,0.029,0.811,0.339,0.273,0.146,0.247,0.584,0.534,0.791,0.737,0.764,0.948,0.576,0.983,0.388,0.935,0.8831,99.16,0.0036,0.1304,0.5000822317420056,0.6504892275533141,0.928744752299007,0.6358803995209017,0.14657914509233244,0.7464270080653852,0.7117804106165715,0.7525840312575652,1.0,0.2529588741080217,0.6326
57,Emotional Support Robot for Elderly in Care Facilities,socialtech,startup_pitch,https://crunchbase.com/doc/57,2001,2650,15,AUTH_0057,data_scientist,New York,hindu,0.5331,0.0424,0.119,0.356,50.26,0.136,0.302,2.582,0.101,0.917,0.774,0.82,0.681,0.531,0.255,0.942,0.158,0.949,0.792,0.961,0.649,0.174,0.969,0.694,0.929,1.0657,78.72,0.0249,0.0352,0.13131057513923594,0.24555018698698006,0.1392695962155479,0.9999551284221453,0.21660675392421402,0.9104614253962524,0.6671609271662446,1.0,0.661523645893638,0.530315826705292,0.5502
58,Peer-to-Peer Renewable Energy Trading Platform,fintech,patent,https://legislation.gov/doc/58,1995,2750,114,AUTH_0058,lawyer,Seoul,syncretic,0.7304,0.009,0.067,0.134,22.86,0.351,0.882,1.665,0.414,0.693,0.35,0.769,0.585,0.19,0.291,0.42,0.375,0.829,0.789,0.578,0.758,0.226,0.451,0.799,0.033,0.5358,2.11,0.8213,0.0191,0.39834405977559617,0.2685292538675189,0.2998924098667364,0.3574755364935208,0.43172913044477773,0.8157970000291452,0.7317324400204916,0.5395888526539901,0.7455270914553616,0.7317582419543892,0.532
59,Peer-to-Peer Renewable Energy Trading Platform,healthtech,policy_document,https://ssrn.com/doc/59,2025,4021,39,AUTH_0059,data_scientist,São Paulo,hindu,0.4406,0.0034,0.282,0.012,30.16,0.785,0.116,4.908,0.474,0.088,0.824,0.631,0.404,0.141,0.164,0.638,0.471,0.895,0.265,0.642,0.388,0.371,0.381,0.187,0.045,0.2257,44.03,0.0001,0.3751,0.5483384754059879,0.402545774730172,0.9015092080074022,0.6196161500608148,0.4392981851334926,0.9469057117899493,0.33061579789656786,0.6297843254059146,0.29753160450935295,0.40892429239978473,0.5525
60,3D-Printed Custom Prosthetics via Mobile Clinic,mediatech,conference_talk,https://semanticscholar.org/doc/60,1999,985,193,AUTH_0060,cultural_anthropologist,Singapore,syncretic,0.6697,1.2831,2.251,0.57,10.92,0.32,0.595,4.29,0.148,0.167,0.212,0.264,0.111,0.038,0.426,0.202,0.727,0.807,0.087,0.556,0.552,0.857,0.52,0.917,0.012,0.6261,70.07,0.0037,0.0301,0.7026745378173853,0.8715013095436275,0.7612660712946503,0.15777178963060542,0.2537002961565974,0.7648811606427942,0.06569464228728922,0.547146198494779,0.5380755568055251,0.7300449709417839,0.5393
61,Bio-Mimetic Water Purification Nano-Filter,fintech,policy_document,https://biorxiv.org/doc/61,2020,2200,95,AUTH_0061,journalist,Toronto,agnostic,0.4581,0.0546,0.111,0.492,14.85,0.269,0.826,4.897,0.443,0.303,0.28,0.518,0.388,0.135,0.528,0.134,0.417,0.646,0.188,0.211,0.824,0.741,0.759,0.867,0.821,1.0131,51.58,0.0784,0.2366,0.34548068525226877,0.7906726999020183,0.6329118398723026,0.12414386020883748,0.49002756056209457,0.7365143288220437,0.19324859770394168,0.2274080938240239,0.8397597760398191,0.46142270759728116,0.4842
62,Peer-to-Peer Renewable Energy Trading Platform,spacetech,conference_talk,https://legislation.gov/doc/62,2000,2118,191,AUTH_0062,biologist,Cairo,sikh,0.4709,0.2618,4.156,0.063,4.62,0.865,0.513,1.827,0.652,0.027,0.05,0.826,0.652,0.265,0.172,0.225,0.967,0.682,0.474,0.132,0.173,0.801,0.224,0.608,0.943,0.6325,71.3,0.0036,0.0318,0.9330744859872769,0.8099386258857656,0.9534875265599565,0.2824086966332042,0.6047341422786816,0.6355548984604383,0.6670398898004479,0.14091824733948902,0.2665094961334103,0.4509126367709523,0.5745
63,Genomic Risk Map for Pandemic Early Warning,edtech,legislation_draft,https://scholar.google.com/doc/63,1999,4237,195,AUTH_0063,policy_analyst,Tokyo,agnostic,0.5979,0.052,1.209,0.043,50.7,0.737,0.405,2.182,0.907,0.857,0.81,0.443,0.248,0.092,0.064,0.497,0.583,0.995,0.816,0.343,0.713,0.686,0.638,0.476,0.941,0.7761,35.91,0.0989,0.0275,0.5676772097548861,0.7402860536201584,0.13841707574200102,0.4167671372454425,0.8041091769975046,0.9549850607666376,0.9172968989679485,0.3079077887357232,0.6929695545171521,0.5686501359892165,0.6109
64,Bio-Mimetic Water Purification Nano-Filter,govtech,patent,https://scholar.google.com/doc/64,1994,3868,49,AUTH_0064,cultural_anthropologist,São Paulo,jewish,0.5498,1.3087,2.507,0.522,16.5,0.316,0.458,3.278,0.907,0.382,0.298,0.146,0.121,0.045,0.16,0.409,0.716,0.779,0.488,0.631,0.177,0.634,0.005,0.274,0.761,0.3471,16.94,0.0871,0.0169,0.6627076403755587,0.5873251864486501,0.5115101489692928,0.48295270612918895,0.8966962523686051,0.7882795189238796,0.5031008282184434,0.6769000806097687,0.22092537340028398,0.5536953250823005,0.5884
65,Decentralized Carbon Credit Exchange on Blockchain,fintech,academic_paper,https://openalex.org/doc/65,2023,4885,134,AUTH_0065,urban_planner,Lagos,hindu,0.3075,0.9057,1.696,0.534,26.51,0.131,0.727,2.614,0.228,0.995,0.343,0.866,0.502,0.198,0.571,0.918,0.734,0.59,0.169,0.367,0.651,0.037,0.877,0.256,0.535,0.6234,4.95,0.6723,0.3016,0.7148102747524149,0.0,0.0,0.9610175592355011,0.19954474930747212,0.5946175718794232,0.1451865310774508,0.3006042988196992,0.627762396102067,0.3773469845507951,0.3921
66,Decentralized Carbon Credit Exchange on Blockchain,cleantech,social_post,https://legislation.gov/doc/66,2002,2932,180,AUTH_0066,economist,Dubai,christian,0.5729,0.2158,2.055,0.105,46.9,0.949,0.494,1.442,0.574,0.548,0.91,0.685,0.439,0.183,0.057,0.089,0.78,0.075,0.724,0.905,0.644,0.457,0.977,0.264,0.05,0.5077,81.34,0.0003,0.0381,0.7578170086439938,0.4681286277812617,0.514450277015249,0.004444524909393191,0.6012404318590612,0.07665752462824273,0.6971318875927303,0.8693558068160822,0.7421952719002024,0.4962640513478263,0.5228
67,Smart City Traffic AI Reducing Commute by 40%,mediatech,legislation_draft,https://ssrn.com/doc/67,1993,1305,26,AUTH_0067,entrepreneur,Tokyo,sikh,0.5068,0.7489,2.086,0.359,42.06,0.92,0.131,4.354,0.973,0.802,0.678,0.254,0.15,0.072,0.066,0.684,0.113,0.411,0.046,0.262,0.314,0.705,0.678,0.768,0.577,0.8305,56.54,0.0332,0.0167,0.17382329287352918,0.746470882385151,0.1984117979072817,0.7300560006222993,0.9509803331640485,0.3669001551203761,0.07992299464191469,0.20782110174097052,0.33070056966775135,0.5055164227935376,0.4291
68,Cross-Border Micro-Loan Network using DeFi,socialtech,startup_post_mortem,https://arxiv.org/doc/68,1995,3760,113,AUTH_0068,investor,London,christian,0.5427,1.0982,4.008,0.274,30.47,0.604,0.091,3.229,0.0,0.857,0.447,0.201,0.13,0.081,0.106,0.412,0.619,0.305,0.508,0.207,0.671,0.95,0.363,0.054,0.223,0.2192,45.5,0.0,0.0187,0.6091195161643564,0.9035283239153082,0.1213591840112191,0.418652753760075,0.0,0.302212317448151,0.46452120757813786,0.2629515665239167,0.6904301732895405,0.4827882961031982,0.4256
69,Longevity Drug Discovery via Protein Folding AI,spacetech,conference_talk,https://ssrn.com/doc/69,1996,3395,11,AUTH_0069,biologist,London,sikh,0.5631,2.3355,4.634,0.504,41.57,0.839,0.935,3.121,0.049,0.589,0.772,0.483,0.352,0.274,0.124,0.499,0.483,0.508,0.921,0.177,0.579,0.73,0.128,0.387,0.601,0.3869,88.28,0.0,0.0209,0.5562073742754969,0.6872685068155447,0.39198833266433075,0.6262933675579796,0.10296904624078448,0.4978775366313628,0.9555108920909574,0.21534687808350453,0.5533380111151528,0.4840963923206366,0.5071
70,Genomic Risk Map for Pandemic Early Warning,healthtech,legislation_draft,https://openalex.org/doc/70,2001,4127,138,AUTH_0070,urban_planner,Nairobi,atheist,0.4944,0.695,3.475,0.2,15.12,0.808,0.847,4.366,0.286,0.115,0.352,0.508,0.348,0.22,0.28,0.748,0.523,0.025,0.145,0.67,0.2,0.75,0.161,0.287,0.251,0.2469,83.95,0.0,0.0338,0.4883636061473804,0.7925810689961058,0.8290749213693964,0.6979986486676192,0.25302326443313405,0.011489645505308378,0.11511101984222694,0.6303892303592651,0.11094282628246843,0.48827867320717966,0.4417
71,Genomic Risk Map for Pandemic Early Warning,govtech,startup_post_mortem,https://biorxiv.org/doc/71,2013,4820,139,AUTH_0071,economist,Berlin,jewish,0.6283,0.4656,3.695,0.126,15.16,0.264,0.279,1.477,0.041,0.725,0.193,0.481,0.429,0.145,0.579,0.735,0.161,0.846,0.006,0.466,0.937,0.04,0.929,0.597,0.774,0.9331,62.57,0.035,0.111,0.10601575868264596,0.10811641206356898,0.2604246157640281,0.7670877154990173,0.04858470059970414,0.863191028200736,0.0,0.46432557045733186,0.915631609954537,0.6232357523118695,0.4157
72,Legal AI Copilot for Unrepresented Litigants,spacetech,patent,https://patents.google.com/doc/72,2005,326,174,AUTH_0072,engineer,Lagos,syncretic,0.3586,1.0408,4.429,0.235,11.48,0.296,0.487,3.057,0.509,0.796,0.113,0.318,0.242,0.076,0.334,0.77,0.652,0.32,0.082,0.096,0.972,0.773,0.533,0.627,0.211,0.5573,62.99,0.0035,0.0576,0.5762978821029467,0.7546975939041608,0.2894257306875148,0.7571425016081544,0.43728196578458645,0.2256449294232774,0.08143562190310952,0.06711383037962401,0.9285741546119208,0.3699754784580892,0.4488
73,Affordable Exoskeleton for Mobility-Impaired Workers,biotech,legislation_draft,https://biorxiv.org/doc/73,1994,4797,11,AUTH_0073,educator,Tokyo,syncretic,0.2461,0.1859,3.507,0.053,11.92,0.533,0.474,2.58,0.661,0.928,0.106,0.769,0.423,0.145,0.471,0.438,0.136,0.391,0.797,0.546,0.96,0.144,0.677,0.914,0.795,0.981,72.96,0.0243,0.0167,0.14521311761613923,0.15533455258190745,0.02708357333524159,0.41591912082215987,0.6408419300305865,0.38479503924425545,0.8174250828205021,0.6256603381593278,0.9548051720871569,0.21200262703340114,0.4379
74,On-Chain Scientific Research Funding DAO,cleantech,social_post,https://scholar.google.com/doc/74,2025,599,74,AUTH_0074,investor,Mumbai,hindu,0.3572,0.5312,3.362,0.158,24.45,0.328,0.486,1.279,0.193,0.197,0.581,0.909,0.526,0.334,0.179,0.285,0.659,0.693,0.152,0.567,0.808,0.959,0.169,0.313,0.786,0.4385,71.25,0.0003,0.4269,0.6397846856102849,0.9184434104032939,0.7491422764265486,0.29181963820512885,0.20195332099744026,0.635930250602143,0.20782264731270494,0.612494995419474,0.8433160381218445,0.37718942158876173,0.5478
75,Affordable Exoskeleton for Mobility-Impaired Workers,biotech,news_article,https://arxiv.org/doc/75,2024,3867,167,AUTH_0075,policy_analyst,Tokyo,christian,0.3997,0.8764,3.878,0.226,31.99,0.807,0.848,3.009,0.663,0.223,0.772,0.723,0.394,0.21,0.331,0.397,0.614,0.166,0.514,0.446,0.179,0.949,0.659,0.968,0.736,0.979,48.4,0.0844,0.3381,0.6184828517517936,0.9879224419053366,0.7844491744078403,0.47093536647195783,0.5750251979710101,0.156071897616658,0.42871674089993117,0.5182908737351573,0.18949664597743446,0.3900338705303239,0.5119
76,On-Chain Scientific Research Funding DAO,biotech,news_article,https://openalex.org/doc/76,2014,1825,132,AUTH_0076,investor,Mumbai,buddhist,0.4208,1.0012,2.035,0.492,36.03,0.157,0.15,3.058,0.281,0.345,0.793,0.854,0.344,0.255,0.292,0.23,0.602,0.817,0.661,0.415,0.33,0.113,0.675,0.479,0.591,0.6787,64.76,0.0085,0.131,0.6484976945824183,0.1612148035506633,0.6947223820901377,0.27489902335134525,0.30280385475653926,0.7991455915903923,0.7177331070124341,0.5128024271505304,0.2792901628486682,0.41547854845143195,0.4807
77,AI-Powered Diagnostic Companion for Rural Physicians,spacetech,legislation_draft,https://crunchbase.com/doc/77,2001,4184,67,AUTH_0077,policy_analyst,Dubai,buddhist,0.5829,0.3507,0.847,0.414,40.19,0.606,0.827,4.637,0.684,0.922,0.597,0.159,0.094,0.034,0.059,0.523,0.177,0.902,0.6,0.878,0.531,0.752,0.093,0.659,0.902,0.5697,53.97,0.0088,0.0339,0.16677359995843896,0.7628383848401229,0.04252785986037566,0.5162757000779672,0.7124892943165145,0.81844744931857,0.5510382634107439,0.9232674684113233,0.5264242855660674,0.49836116207154935,0.5518
78,Universal Coding Tutor for Non-English Speaking Youth,fintech,news_article,https://arxiv.org/doc/78,1997,4257,1,AUTH_0078,biotech_researcher,Lagos,christian,0.4286,0.2464,1.881,0.131,27.55,0.397,0.992,3.259,0.612,0.804,0.409,0.191,0.117,0.069,0.194,0.536,0.204,0.552,0.558,0.179,0.559,0.484,0.989,0.578,0.774,0.9518,39.87,0.1231,0.0228,0.22921389800834915,0.36455125516745784,0.24414052282261306,0.5711050621154287,0.6321897969178065,0.4644731430920532,0.5007195681918124,0.12912057975829697,0.6060087725638922,0.4445472700812327,0.4186
79,Predictive Mental Health Coach via Wearable Biometrics,fintech,legislation_draft,https://producthunt.com/doc/79,2008,4894,14,AUTH_0079,journalist,Berlin,christian,0.2861,2.3361,4.729,0.494,26.52,0.169,0.232,3.398,0.516,0.64,0.439,0.271,0.197,0.138,0.207,0.034,0.036,0.239,0.0,0.157,0.997,0.78,0.353,0.395,0.586,0.4865,51.82,0.0049,0.0676,0.02644206141492912,0.7167268698193594,0.3199307204745554,0.011000377157121495,0.5303307387979626,0.20617537029226535,0.05359248647226809,0.14433183619243717,0.9930245690931818,0.28883997541204554,0.329
80,Peer-to-Peer Renewable Energy Trading Platform,edtech,news_article,https://arxiv.org/doc/80,2011,3758,174,AUTH_0080,educator,Mumbai,jewish,0.4045,0.822,2.309,0.356,6.65,0.01,0.517,2.263,0.955,0.027,0.116,0.157,0.113,0.09,0.422,0.23,0.832,0.248,0.093,0.674,0.821,0.076,0.931,0.477,0.354,0.7206,89.44,0.002,0.0923,0.8290406925830942,0.039534485583500735,0.974959197992451,0.26922172668921357,0.9673636247931944,0.3420977496981222,0.11721661282745947,0.6338247469450298,0.8255691183470363,0.37964844712909696,0.5378
81,Wildfire Prediction System using Satellite ML,agritech,social_post,https://scholar.google.com/doc/81,2022,2295,101,AUTH_0081,physician,Stockholm,atheist,0.4991,0.3913,1.118,0.35,28.43,0.46,0.698,1.699,0.977,0.054,0.799,0.507,0.34,0.187,0.267,0.686,0.689,0.012,0.211,0.581,0.325,0.613,0.26,0.549,0.237,0.3915,47.19,0.0024,0.288,0.6546210478493231,0.6132656931738433,0.9312940352913872,0.6400404964940537,1.0,0.0,0.22230475624711218,0.6049804930462493,0.2929971235567056,0.4825669558291383,0.5442
82,Cross-Border Micro-Loan Network using DeFi,edtech,policy_document,https://legislation.gov/doc/82,2023,4374,184,AUTH_0082,economist,Dubai,sikh,0.3428,0.4707,1.585,0.297,35.99,0.26,0.745,4.356,0.096,0.251,0.859,0.141,0.063,0.024,0.169,0.254,0.36,0.557,0.81,0.344,0.412,0.351,0.68,0.606,0.577,0.7446,65.02,0.0127,0.3032,0.3328392123795877,0.4042313731631675,0.7574265613115504,0.2002380465486522,0.15675792142771838,0.5896145848852061,0.6879911215905361,0.37227845874016996,0.4603908847919739,0.29012505682472645,0.4252
83,Genomic Risk Map for Pandemic Early Warning,healthtech,news_article,https://producthunt.com/doc/83,2018,2975,191,AUTH_0083,investor,Nairobi,christian,0.5065,1.7046,2.939,0.58,12.05,0.064,0.103,1.32,0.167,0.414,0.184,0.12,0.092,0.058,0.567,0.701,0.879,0.548,0.026,0.397,0.765,0.083,0.262,0.155,0.655,0.3695,88.56,0.0,0.1885,0.8546453869919342,0.09208752997549248,0.5558478421350308,0.695885396884672,0.21283543222509,0.5582923065763857,0.11209385869881003,0.34628291381231546,0.66596976962602,0.5272071605401324,0.4621
84,NLP-Based Financial Literacy Bot for Developing Markets,spacetech,news_article,https://producthunt.com/doc/84,2004,733,113,AUTH_0084,urban_planner,Cairo,muslim,0.5535,0.3911,1.546,0.253,3.85,0.3,0.755,3.751,0.492,0.156,0.011,0.545,0.425,0.156,0.208,0.535,0.766,0.798,0.597,0.797,0.548,0.189,0.882,0.437,0.25,0.6386,71.52,0.0037,0.0511,0.8275612009302785,0.22244657707143625,0.7547876332190644,0.5256554808607438,0.4337205372240843,0.7477693066325626,0.587098619152416,0.868617591774804,0.5092279986891282,0.5456117924436573,0.6022
85,Emotional Support Robot for Elderly in Care Facilities,spacetech,market_report,https://patents.google.com/doc/85,1996,2311,68,AUTH_0085,policy_analyst,Singapore,syncretic,0.2128,0.1705,0.634,0.269,5.75,0.08,0.032,2.486,0.697,0.008,0.09,0.113,0.057,0.029,0.482,0.498,0.751,0.146,0.267,0.392,0.543,0.182,0.896,0.25,0.382,0.5765,1.36,0.8887,0.0214,0.7499854783498233,0.1689848592319119,0.9087371307222758,0.5189134630809836,0.5564071356309677,0.12721572338923973,0.19247064141058906,0.4048504208680215,0.5261975232958008,0.25364805391710954,0.4407
86,Cross-Border Micro-Loan Network using DeFi,agritech,market_report,https://patents.google.com/doc/86,2010,123,42,AUTH_0086,educator,Tokyo,buddhist,0.6815,1.4108,3.974,0.355,14.36,0.686,0.5,4.083,0.249,0.396,0.243,0.924,0.638,0.412,0.429,0.155,0.338,0.97,0.76,0.06,0.356,0.154,0.536,0.107,0.488,0.3942,31.74,0.0178,0.106,0.3862677394395292,0.160514919909454,0.5979158351945061,0.11750283925412501,0.32490623734858415,0.9892296110092444,0.7017028671472895,0.03733074452893614,0.29145962846257095,0.685523083627697,0.4292
87,Vertical Farming Mesh Network for Urban Food Security,biotech,startup_post_mortem,https://crunchbase.com/doc/87,2022,3105,187,AUTH_0087,investor,Dubai,syncretic,0.5028,0.0197,0.936,0.021,48.8,0.613,0.551,3.096,0.498,0.857,0.776,0.303,0.23,0.145,0.346,0.387,0.323,0.641,0.11,0.523,0.067,0.835,0.13,0.873,0.202,0.4357,48.59,0.0038,0.2805,0.28960052783174317,0.7838596926123633,0.13142157035043167,0.35033805648815897,0.4524395280485276,0.691800361747183,0.21412311940640738,0.572696810924117,0.08190544510658022,0.5589991896781006,0.4127
88,Cross-Border Micro-Loan Network using DeFi,agritech,social_post,https://crunchbase.com/doc/88,1996,829,185,AUTH_0088,educator,Sydney,sikh,0.3314,0.2756,1.163,0.237,27.09,0.703,0.674,4.065,0.577,0.193,0.657,0.585,0.511,0.296,0.357,0.746,0.427,0.104,0.792,0.55,0.505,0.658,0.534,0.6,0.934,0.7855,90.26,0.0032,0.0225,0.43172293826455876,0.605146905099679,0.7966582190564011,0.6783184654085926,0.5450028066945497,0.0905942204856816,0.8032472630540264,0.43641352601261,0.5017196042564388,0.45904981107860265,0.5348
89,3D-Printed Custom Prosthetics via Mobile Clinic,spacetech,patent,https://openalex.org/doc/89,2007,4535,130,AUTH_0089,engineer,Toronto,secular,0.3285,1.549,2.786,0.556,4.78,0.918,0.4,4.244,0.092,0.155,0.038,0.402,0.189,0.091,0.37,0.233,0.734,0.724,0.793,0.173,0.826,0.69,0.576,0.908,0.595,0.8499,30.11,0.1701,0.0612,0.7737863436315437,0.6687326302167472,0.883858338296568,0.19641413810099498,0.11494717672586269,0.7132451840446014,0.803601560197106,0.09070257541939215,0.8932288389504751,0.23532653412880788,0.5374
90,3D-Printed Custom Prosthetics via Mobile Clinic,fintech,patent,https://crunchbase.com/doc/90,2022,737,56,AUTH_0090,sociologist,Cairo,syncretic,0.5126,1.0262,2.165,0.474,15.02,0.481,0.762,2.738,0.698,0.148,0.336,0.504,0.389,0.223,0.194,0.399,0.198,0.395,0.571,0.561,0.997,0.524,0.242,0.266,0.43,0.332,68.51,0.0,0.3137,0.15696745773315984,0.5453832991684844,0.8231389580258323,0.45960146977653954,0.7401447886161889,0.4014599438340762,0.6399904041185376,0.5556365932627264,1.0,0.5092615777481627,0.5832
91,Affordable Exoskeleton for Mobility-Impaired Workers,fintech,academic_paper,https://producthunt.com/doc/91,1997,2499,115,AUTH_0091,lawyer,Seoul,jewish,0.3676,0.4864,2.361,0.206,16.29,0.906,0.377,3.78,0.668,0.74,0.212,0.564,0.437,0.251,0.393,0.992,0.527,0.255,0.06,0.201,0.697,0.271,0.465,0.945,0.067,0.6242,66.07,0.005,0.0235,0.5756910673329947,0.21742868831869544,0.26577799064688795,1.0,0.6906573197343566,0.25164629690761364,0.019865848612308397,0.293020348486951,0.6655118389383338,0.3612726988247166,0.4341
